EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.476,17.447,10.580,9.044,9.098,12.406,12.600,7.669,-0.148,0.990,-0.013,1.251,1.007,-0.275,93.333,109402.000,1.000
12.852,17.947,12.372,10.138,10.950,15.248,13.204,9.080,-0.148,0.992,-0.014,1.282,0.977,-0.122,93.333,109403.000,1.000
11.863,15.342,10.048,8.203,8.163,13.771,10.551,6.590,-0.147,0.991,-0.017,1.129,0.977,-0.183,93.333,109404.000,1.000
9.034,11.148,5.207,4.554,3.166,9.602,6.203,2.471,-0.147,0.990,-0.015,1.068,1.038,-0.122,93.333,109405.000,1.000
5.239,7.211,0.385,1.251,-0.323,6.012,2.294,0.169,-0.146,0.991,-0.017,1.007,0.977,-0.214,93.333,109406.000,1.000
1.553,4.583,-3.252,-1.083,-1.773,3.884,-0.159,-0.071,-0.148,0.989,-0.016,1.099,1.007,-0.153,93.333,109407.000,1.000
-0.934,3.479,-5.625,-2.786,-2.777,2.181,-1.122,-0.086,-0.147,0.989,-0.016,1.129,1.038,-0.092,93.333,109408.000,1.000
-1.653,3.586,-6.371,-3.641,-3.369,1.011,-0.838,-0.096,-0.147,0.989,-0.017,1.099,1.038,-0.092,93.333,109409.000,1.000
-0.830,4.320,-5.074,-3.175,-2.428,1.403,0.139,0.930,-0.146,0.986,-0.016,1.007,1.068,-0.031,93.333,109410.000,1.000
0.816,5.158,-2.414,-1.947,-0.730,2.740,0.878,2.227,-0.146,0.985,-0.015,0.977,1.099,-0.061,93.333,109411.000,1.000
2.475,5.910,0.160,-1.190,-0.333,3.277,0.814,1.825,-0.147,0.988,-0.013,0.916,1.129,-0.092,93.333,109412.000,1.000
3.429,6.591,1.873,-1.213,-1.139,3.176,0.414,0.007,-0.144,0.987,-0.017,0.946,1.160,-0.092,93.333,109413.000,1.000
3.276,7.107,2.816,-1.356,-1.107,4.354,0.565,-0.901,-0.145,0.988,-0.014,0.916,1.190,-0.153,93.333,109414.000,1.000
2.259,7.326,2.958,-1.435,0.109,7.058,1.482,-0.295,-0.146,0.988,-0.017,0.977,1.282,-0.153,93.333,109415.000,1.000
1.268,7.413,2.203,-1.816,0.830,9.257,2.833,0.266,-0.147,0.989,-0.018,0.977,1.251,-0.244,93.333,109416.000,1.000
1.207,7.812,1.398,-2.016,0.882,10.012,4.610,0.591,-0.145,0.989,-0.014,1.007,1.312,-0.244,93.333,109417.000,1.000
2.311,8.711,1.883,-0.894,2.129,10.628,6.824,2.348,-0.146,0.990,-0.015,0.885,1.343,-0.153,93.333,109418.000,1.000
4.140,9.813,3.761,1.415,4.817,11.654,8.610,5.413,-0.149,0.989,-0.012,0.946,1.404,-0.183,93.333,109419.000,1.000
6.170,10.897,5.838,3.405,6.733,11.746,8.935,7.220,-0.146,0.990,-0.011,0.946,1.312,-0.244,93.333,109420.000,1.000
8.028,12.158,7.376,4.315,6.965,10.620,8.118,6.783,-0.146,0.990,-0.013,0.916,1.434,-0.244,93.333,109421.000,1.000
9.207,13.690,8.660,4.844,7.434,10.364,7.616,6.292,-0.147,0.988,-0.017,0.854,1.465,-0.183,93.333,109422.000,1.000
9.183,15.189,9.758,5.520,9.482,12.482,8.473,7.552,-0.146,0.986,-0.014,0.763,1.404,-0.214,93.333,109423.000,1.000
7.985,16.388,10.003,5.813,11.720,15.884,10.706,9.572,-0.147,0.990,-0.016,0.763,1.465,-0.183,93.333,109424.000,1.000
6.219,17.302,9.101,5.296,12.727,19.119,13.895,11.018,-0.146,0.990,-0.013,0.763,1.434,-0.153,93.333,109425.000,1.000
4.528,17.933,7.790,4.534,13.439,22.501,17.498,12.497,-0.148,0.989,-0.013,0.793,1.373,-0.336,93.333,109426.000,1.000
3.378,18.104,6.882,4.159,14.922,26.273,20.592,14.610,-0.149,0.987,-0.014,0.732,1.373,-0.305,93.333,109427.000,1.000
3.155,17.717,6.314,3.926,15.874,28.550,22.045,15.873,-0.149,0.986,-0.012,0.732,1.312,-0.305,93.333,109428.000,1.000
3.989,16.909,5.746,3.437,14.656,27.379,21.370,14.803,-0.149,0.989,-0.014,0.824,1.251,-0.244,93.333,109429.000,1.000
5.459,15.858,5.419,3.120,12.196,23.651,19.096,12.557,-0.151,0.987,-0.016,0.763,1.312,-0.214,93.333,109430.000,1.000
6.764,14.600,5.588,3.548,10.342,19.714,16.074,11.129,-0.148,0.989,-0.014,0.885,1.251,-0.183,93.333,109431.000,1.000
7.351,13.168,5.678,4.320,8.702,16.094,12.773,10.203,-0.148,0.986,-0.014,0.854,1.221,-0.183,93.333,109432.000,1.000
7.226,11.798,4.964,4.632,5.889,11.939,9.509,8.344,-0.150,0.986,-0.015,0.763,1.129,-0.092,93.333,109433.000,1.000
6.605,10.779,3.706,4.490,2.745,7.814,6.769,6.169,-0.150,0.988,-0.011,0.732,1.190,-0.092,93.333,109434.000,1.000
5.661,10.132,2.698,4.432,1.333,5.255,4.781,5.509,-0.148,0.989,-0.010,0.824,1.190,-0.031,93.333,109435.000,1.000
4.760,9.654,2.107,4.457,1.481,3.895,3.219,6.185,-0.148,0.989,-0.012,0.824,1.160,-0.061,93.333,109436.000,1.000
4.484,9.280,1.694,4.302,1.287,1.788,1.814,6.482,-0.149,0.987,-0.013,0.885,1.129,-0.061,93.333,109437.000,1.000
5.174,9.245,1.857,4.517,0.718,-1.280,0.922,6.406,-0.147,0.987,-0.013,0.854,1.099,-0.061,93.333,109438.000,1.000
6.637,9.762,3.307,5.994,1.592,-3.518,0.907,7.462,-0.148,0.986,-0.013,0.854,1.068,0.000,93.333,109439.000,1.000
8.359,10.693,5.772,8.364,3.931,-4.439,1.291,9.283,-0.147,0.990,-0.013,0.824,1.007,0.061,93.333,109440.000,1.000
9.918,11.766,8.218,10.166,5.566,-5.603,1.274,9.634,-0.147,0.990,-0.013,0.916,1.038,0.153,93.333,109441.000,1.000
11.028,12.870,10.267,10.747,5.794,-7.485,0.787,8.114,-0.146,0.990,-0.012,0.885,1.099,0.061,93.333,109442.000,1.000
11.383,13.868,12.285,10.806,6.365,-8.334,0.359,6.897,-0.145,0.989,-0.015,0.732,1.007,0.122,93.333,109443.000,1.000
